dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,14,300,-0.953333,0.05,0.0421167,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,1975,1,,0.95,0.05
pubchem::29393,,300,,0.05,,,1975,1,,0.95,0.05
pubchem::29393,,300,,0.05,,,4,0.880797,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,1,0.622459,,0.95,0.05
pubchem::29393,3,300,-0.99,0.05,0.009025,,,,,0.95,0.05
pubchem::3143,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::36314,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::36314,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::36314,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::36314,,300,,0.05,,,20,0.999955,,0.95,0.05
pubchem::36314,30,300,-0.9,0.05,0.09025,,,,,0.95,0.05
pubchem::36314,3,300,-0.99,0.05,0.009025,,,,,0.95,0.05
pubchem::36314,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::36314,195,300,-0.35,0.05,0.586625,,,,,0.95,0.05
pubchem::36314,24,300,-0.92,0.05,0.0722,,,,,0.95,0.05
pubchem::36314,24,300,-0.92,0.05,0.0722,,,,,0.95,0.05
pubchem::36314,3,300,-0.99,0.05,0.009025,,,,,0.95,0.05
pubchem::36314,3,300,-0.99,0.05,0.009025,,,,,0.95,0.05
